"sentence","event_type"
"The main event, dubbed the ""Inaugural Brawl,"" was a five-on-five tag team match between Team WWF and Team WCW/ECW.","None"
"Metallica also became the first band of the Big Four to cross the Iron Curtain, with two concerts in Katowice, Poland on February 10 and 11, 1987.","None"
"The investigation into the crash initially closed inconclusively in May 2013, having ruled out a number of factors that had been the subject of media speculation but failing to identify a cause.","Investigation"
"Removing the threat posed by ""Tirpitz"" would also allow the Allies to redeploy the capital ships which had to be held in the North Sea to counter her.","None"
"Due to the slow movement of the storm, it produced heavy rains, peaking at 516 mm (20.3 in).","Disaster"
"Because the right elevator cable was partially restricted, however, both pilots had to apply back pressure on the yoke for the landing flare.","None"
"Following a charity gig Waters performed with his former Pink Floyd bandmates on 10 July 2010, he confirmed that David Gilmour would guest on ""Comfortably Numb"" at one show during the tour.","Investigation"
"The accident was investigated by the Transportation Safety Board of Canada (TSB), with a final report issued on 13 December 2007.","Investigation"
"A post mortem indicated that the head injury alone would not have killed him.","Injury"
"Bytnar himself died four days later on account of injuries sustained due to German torture.","Injury"
"In 2012, 32 years after Azaria's death, the Chamberlains' version of events was officially supported by a coroner.","Injury"
"Three and a half million people (out of Turkey's population of 80 million) are estimated to have taken an active part in almost 5,000 demonstrations across Turkey connected with the original Gezi Park protest.","Protest"
"Hurricane Dolores was regarded as the worst hurricane to strike Acapulco since 1938.","Attack"
"Three months later, however, the CPS reported that there was insufficient evidence to press charges and the inquest was resumed.","Investigation"
"Upon arriving at the bay where the pirates were said to be, ""Alligator"" dispatched boats to engage the enemy vessels, as the water was too shallow for the warship to engage them directly.","Attack"
"The naval Battle of Les Formigues (Catalan) took place probably in the early morning of 4 September 1285 near Les Formigues Islands, Catalonia, about 85 km northeast of Barcelona, when a Catalan-Sicilian galley fleet commanded by Roger of Lauria defeated a French and Genoese galley fleet commanded by Guilhem de Lodeva, Henry di Mari, and John de Orrea.","Attack"
"At least 25 homes sustained damage, while portions of a few major roads, such as Interstate 10, were closed.","Disaster"
"After the Independent Police Complaints Commission (IPCC) began a criminal inquiry, further autopsies indicated that Tomlinson had died from internal bleeding caused by blunt force trauma to the abdomen, in association with cirrhosis of the liver.","Injury"
"Some areas of the city were also inundated with up to of water due to storm tide.","Disaster"
"The organizers of the March continue to support public media with ongoing education and advocacy efforts around puppetry with other parades and mobilizations around the country including Santa Monica, California and Denver, CO","None"
"The campaign of mass persecution in the newly acquired areas began immediately.","None"
"Chief among those issues was (1) the legality of the sale of a block of land at Waitara, which had sparked the first war, but Māori unrest was exacerbated by (2) a new land confiscation strategy launched by the Government and (3) the emergence of a fiery nationalist religious movement.","None"
"The uprising began in St. John’s Town of Dalry, where troops were beating an elderly man who had defaulted on a fine for not attending government-approved church services.","Injury"
"The battle took place across the River Boyne close to the town of Drogheda in the Kingdom of Ireland, modern-day Republic of Ireland, and resulted in a victory for William.","Attack"
"There were a further 57 injuries.","Injury"
"The case resonated with the public anger over the corruption and immorality of officials, and garnered over four million forum posts across the country.","Injury"
"As a result, the duration of the competition was extended and it ran from 8 July to 9 September.","None"
"The evacuation was the largest helicopter evacuation in history.","None"
"The return match at El Cilindro in Buenos Aires was also acrimonious, with Celtic's Ronnie Simpson struck by an object thrown from the crowd just before the start of the match.","Injury"
"The pilots failed to switch on the engines' internal ice protection systems, used reverse thrust in a snowstorm prior to takeoff, tried to use the jet exhaust of a plane in front of them to melt their ice, and failed to abort the takeoff even after detecting a power problem while taxiing and seeing ice and snow buildup on the wings.","Investigation"
"The British attack swiftly established the defensive flank and patrols began to probe southwards.","Investigation"
"Operationally, German forces achieved significant victories and occupied some of the most important economic areas of the Soviet Union (mainly in Ukraine) and inflicted, as well as sustained, heavy casualties.","Injury"
"It was attacked twice during the Nanboku-chō Wars of the 14th century, during which it was likely both built and destroyed.","Attack"
"In September 1740, as unrest rose among the Chinese population, spurred by government repression and declining sugar prices, Governor-General Adriaan Valckenier declared that any uprising would be met with deadly force.","None"
"The aircraft flew into a cloud of volcanic ash thrown up by the eruption of Mount Galunggung (approximately south-east of Jakarta, Indonesia), resulting in the failure of all four engines.","Disaster"
"Five others died in Honduras from an aviation accident likely related to the storm and one other was swept away in floodwaters.","Injury"
"The World Meteorological Organization retired the name ""Diana"" following the season due to the extensive loss of life and damage caused by the storm.","Disaster"
"Soon after, on 30 October, the Armistice of Mudros was signed between the Allies and the Ottoman Empire, ending the Sinai and Palestine campaign.","None"
"The Mexican Army was dispatched in several locations to aid in post-tropical cyclone relief operations.","None"
"Pakistan later confirmed that the sole surviving perpetrator of the attacks was a Pakistani citizen.","Investigation"
"While several kings from Oppland were gathering forces in the north, king Gandalf Alfgeirsson of Alfheimr was the first to strike.","Attack"
"However, the Commission's enquiries led away from union activities towards investigation of so-called ""bottom of the harbour"" tax evasion schemes.","Investigation"
"Some reports suggest a motorcycle crashed into the crowd and the rider detonated explosives in a worn belt.","Attack"
"On August 27, 1975 the same IRA unit detonated a bomb in Surrey at the Caterham Arms pub which injured over 30 people, Surrey police said it was ""a carbon copy of the Guildford bombs"".","Injury"
"Planners attempted to protect participants in the Operation Crossroads tests against radiation sickness, but one study showed that the life expectancy of participants was reduced by an average of three months.","Protest"
"By the time the massacre was over, between 250 and 300 men, women, and children of the Lakota had been killed and 51 were wounded (4 men and 47 women and children, some of whom died later); some estimates placed the number of dead at 300.","Injury"
"He appointed the Commission on Wartime Relocation and Internment of Civilians (CWRIC) to investigate the camps.","Investigation"
"The war ended with the signing of a peace treaty at Bamberg on 22 June 1450.","Attack"
"Israel said that it had achieved its aim of crippling Hamas's rocket-launching ability, while Hamas stated that Israel's option of invading Gaza had ended.","Attack"
"This was the first time Thailand hosted the ASEAN Para Games.","None"
"On June 12, 2019, Hicks pleaded guilty to the shooting and was sentenced to three consecutive terms of life imprisonment.","Injury"
"(32 guns), Capt.","None"
"Ernesto first affected the northern Caribbean, reaching minimal hurricane status near Haiti before weakening and moving across eastern Cuba as a tropical storm.","Disaster"
"A total of 2,746 houses were damaged or destroyed, leaving 6,200 people homeless.","Disaster"
"Often identified as the main driver of the rebellion, the rammassage du paddy was an efficient system imposed by Lon Nol in early 1967 whereby the government channels (mainly the military) took charge of buying and collecting the rice crops from the peasants.","Investigation"
"In 1929, leaders of São Paulo broke the alliance with the ""mineiros"" (i.e.","Disaster"
"Several stations reported record rainfall, including Shreveport, Louisiana where its 24‑hour amount remained the highest daily total as of 2008.","None"
"The accident was investigated by the Brazilian Air Force's Aeronautical Accidents Investigation and Prevention Center (; CENIPA), with a final report issued in September 2009.","Investigation"
"Steadily strengthening as it tracked west-northwestward, the tropical storm reached hurricane intensity the next day.","Disaster"
"Radio personality Howard Stern mocked Selena's murder, burial, and her mourners and criticized her music, playing her songs with gunshots in the background, causing an uproar among the Latino population.","Injury"
"The aircraft was attempting an emergency landing, due to a fire in one of its engines.","Disaster"
"In 2007, the International Association of Genocide Scholars (IAGS) reached a consensus that the ""Ottoman campaign against Christian minorities of the Empire between 1914 and 1923 constituted a genocide against Armenians, Assyrians, and Pontian and Anatolian Greeks.""","Injury"
"However, there was later uncertainty as to the identity of the bomber, with some news agencies stating the perpetrator was male.","Investigation"
"The 2006 immigration protests were a series of demonstrations that began in Chicago and continued throughout major cities nationwide for a period of eight weeks.","Protest"
"While passing west of Jamaica, the storm damaged banana plantations and killed one person.","Injury"
"Overall, seven deaths were confirmed in Florida and losses in the state reached at least $1 million.","Injury"
"The Sinking of USS ""Housatonic"" on 17 February 1864 during the American Civil War was an important turning point in naval warfare.","Disaster"
"The term is avoided by some historians, who either describe the conflicts as merely a series of West Coast campaigns that took place between the Taranaki War (1860–1861) and Titokowaru's War (1868–69), or an extension of the First Taranaki War.","Attack"
"The cause of the crash was determined as pilot error according to the official report.","Disaster"
"The aircraft struck the north side of the building causing a fire in several apartments, which was extinguished within two hours.","Attack"
"Among the 100,000 people killed in the ""Intelligenzaktion"" operations, approximately 61,000 were of the Polish intelligentsia, whom the Nazis identified as political targets in the Special Prosecution Book-Poland, compiled before the war began in September 1939.","Injury"
"That was quashed by the British Forces and financial interests that funded the Ever Victorious Army.","None"
"In 1980, under mounting pressure from the Japanese American Citizens League and redress organizations, President Jimmy Carter opened an investigation to determine whether the decision to put Japanese Americans into concentration camps had been justified by the government.","Investigation"
"In September 2015, it was decided that there would be separate trials for the accused.","Investigation"
"The 2012 Afar region tourist attack was a shooting incident on the night of 17 January 2012 at Erta Ale volcano in the Afar Region of Ethiopia which killed 5 and injured 3.","Attack"
"It is estimated that 5,000 were killed, hundreds of Hindu women were raped and thousands of Hindu men and women were forcibly converted to Islam.","Injury"
"As it was transitioning to an extratropical cyclone southwest of the Azores, the German ship Pamir encountered the storm and capsized on September 21, resulting in the deaths of 80 crew members on board.","Attack"
"A similar accident at exactly the same location, with less serious consequences, occurred in 1946, before the line was open for public traffic; one railwayman died.","Injury"
"Some one thousand people were killed in riots in 2001, and at least 700 died in subsequent violence in 2008.","Injury"
"The attack was conducted by the 15th Brigade, 5th Division and the 94th Brigade, 31st Division, which advanced on a front extending from Gavrelle in the south to the north of Oppy Wood.","Attack"
"On 12 October it was reported that the confirmed death toll after searching the boat was 359, but that further bodies were still missing; a figure of ""more than 360"" deaths was later reported.","Injury"
"They overturned cars and damaged traffic lights.","Disaster"
"It drifted westward over the subsequent days, and on October 15, while located over the South China Sea, the disturbance was classified as a tropical depression.","Investigation"
"At least 37 people were killed and 24 were injured.","Injury"
"The raid was the third of series of actions intended to eliminate the threat posed to British trade routes by the Dutch squadron: at the Action of 26 July 1806 and the Action of 18 October 1806, British frigates sent on reconnaissance missions to the region succeeded in attacking and capturing two Dutch frigates and a number of other vessels.","Attack"
"Initial fighting on New Britain took place around the western end of the island in December 1943 and January 1944, with US forces landing and securing bases around Arawe and Cape Gloucester.","Attack"
"By 3 August, the estimated death toll was 41 people, and 48 schoolgirls were marooned in a school in the Darbhanga district.","Injury"
"The board of inquiry finally confirmed that the soldiers fell due to friendly fire.","Investigation"
"Late on September 15, the hurricane made landfall on Key Largo and then in southern Miami-Dade County, and across Homestead, FL where much damage was done and winds were clocked at Homestead Army Air Corps Base at 145 mph.","Disaster"
"Although police were initially hesitant to publicly identify the juvenile after he was apprehended, by the evening of February 28, authorities confirmed that the suspect was Lane.","Investigation"
"At least 233 people were killed along the path of the storm in eight countries.","Disaster"
"Seven men and three women participated.","None"
"Other scholars, such as Hilmar Kaiser, Donald Bloxham and Taner Akçam have differing opinions with regards to the extent of governmental involvement and systematic nature in the killings, asserting a less systematic policy and different treatment in comparison to the Armenians.","Injury"
"Five houses were destroyed and a further eight were extensively damaged during the blazes.","Disaster"
"The Port Neal fertilizer plant explosion occurred on December 13, 1994 in the ammonium nitrate plant at the Terra International, Inc., Port Neal Complex, 16 miles south of Sioux City, Iowa, United States.","Attack"
"Hurricane Flora is among the deadliest Atlantic hurricanes in recorded history, with a death total of at least 7,193.","Injury"
"The 2008 Men's Asia Pacific Floorball Championships were the first to be held outside of Singapore City.","None"
"The storm re-strengthened into a hurricane later that day and headed southwestward.","Disaster"
"The Peloponnesian War reshaped the ancient Greek world.","None"
"The invasion commenced with an overwhelming air attack on Belgrade and facilities of the Royal Yugoslav Air Force (VVKJ) by the Luftwaffe (German Air Force) and attacks by German land forces from southwestern Bulgaria.","Attack"
"It was followed by protests against her arrest, disputing the cause of death, and alleging racial violence against her.","Protest"
"He finished with six catches for 82 yards.","None"
"The most affected districts of Kerala are Kannur, Ernakulam, Kozhikode, Kollam Thrissur, Malappuram, Wayanad, Kasaragod and Alappuzha districts.","None"
"In July 2019, the festival organiser, Geoff Ellis, confirmed that T in the Park would not be returning.","Investigation"
"The lawsuit alleged that Johnson's death was a murder and accused the respondents of a conspiracy to cover up the homicide.","Injury"
"A dispute ensued as to how many civilians died after the explosion: local health authorities in Jakarta reported 9 deaths, compared to 11 deaths reported by Australian officials.","None"
"The storm progressed inland after moving through the Chesapeake Bay region, and was later absorbed by a cold front over Lake Huron on August 15.","Disaster"
"The incident was one of the most tense moments of the Cold War and resulted in an escalation of anti-Soviet sentiment, particularly in the United States.","None"
"Pellegrini's reaction was indifferent; he believed the absence of several first team players was linked to their poor show.","Protest"
"Civilians usually run in the full marathon, which is timed with awards though not certified by USA Track and Field.","Investigation"
"The purpose of ""Wigwam"" was to determine the vulnerability of submarines to deeply detonated nuclear weapons, and to evaluate the feasibility of using such weapons in a combat situation.","Attack"
"Although the Navy was able to force the pirates into abandoning ""Revenge"", the buccaneers managed to fight their way out of the bay and inflict seven casualties.","Attack"
"The Derg enjoyed support from the Soviet Union, Cuba, and other Second World nations in fighting against Eritrean separatists supported by the United States and various other nations.","Attack"
"Roof was found competent to stand trial in federal court, and in December 2016 was convicted of 33 federal hate crime and murder charges stemming from the shooting.","Investigation"
"The hurricane affected 11 Cuban provinces, damaging 92,542 houses and destroying another 6,369.","Disaster"
"Yakushkin was to kill the emperor even before the revolution thus.","Injury"
"By late evening the Poles were again saved by a self-sacrificing charge of the 4th battery of mounted artillery led by Lt.Col.","None"
"The Oklahoma City bombing was a domestic terrorist truck bombing on the Alfred P. Murrah Federal Building in Oklahoma City, Oklahoma, United States on April 19, 1995.","Attack"
"The conflict culminated in a foreign invasion that replaced Zairean President Mobutu Sese Seko with the rebel leader Laurent-Désiré Kabila.","Attack"
"Another potential factor that led to the crash of the 737 aircraft was the power control unit (PCU) that controlled the aircraft's rudder.","Disaster"
"The impact severely damaged an area of the Pentagon and caused a large fire.","Disaster"
"On 21 January, Rommel launched a surprise counter-attack and drove the Eighth Army back to Gazala, where both sides regrouped.","Attack"
"Early estimates placed insured losses from the earthquake alone at US$14.5 to $34.6 billion.","None"
"The daily snowfall totals for Oswego are as follows.","None"
"Prior to the anti-government protests in Egypt, Morsi supporters gathered in Rabaa el-Adaweya to celebrate the one-year anniversary of Morsi's inauguration.","Protest"
"After causing 95 fatalities in the US, Hazel struck Canada as an extratropical storm, raising the death toll by 81 people, mostly in Toronto.","Disaster"
"Carlos Romero Barceló (PNP), then Governor of Puerto Rico, ordered the local Justice Department to launch various investigations, and asked the Federal Bureau of Investigation (FBI) and the US Justice Department to aid in the investigations, which concluded that there was no wrongdoing on the officers' part.","Investigation"
"The Iranian Embassy siege took place from 30 April to 5 May 1980, after a group of six armed men stormed the Iranian embassy on Prince's Gate in South Kensington, London.","Attack"
"No UK personnel were killed in the assault.","Injury"
"Total damage was estimated at $1 billion (1998 USD).","Disaster"
"The two others were 40-gun frigates, ordered to protect the storeships on their journey from the British forces operating off both the French and Guadeloupe coasts.","None"
"Later that day, RSMC New Delhi reported that the deep depression had intensified intoMay, with more than 7,000 people being infected and four dying.","Injury"
"Strengthening continued up until the following day, when the storm reached peak intensity with a strength equivalent to a Category 4 hurricane.","Disaster"
"The apparent aim of the assassination attempt was to wrest political control of Germany and its armed forces from the Nazi Party (including the SS) and to make peace with the Western Allies as soon as possible.","Injury"
"This shooting marks the first time an innocent bystander has been killed by criminal gang violence in Sweden.","Injury"
"The 1935 Royal Canadian Mounted Police Killings were a series of murders of three Royal Canadian Mounted Police and one local constable from 5–8 October 1935.","Injury"
"Historians have interpreted the conflict variously; in the words of the Iranologist Elton L. Daniel, it has been regard as ""a conflict over the succession between a rather incompetent, besotted al-Amin and his shrewdly competent brother al-Ma'mun; as the product of harem intrigues; as an extension of the personal rivalry between the ministers al-Fadl b. Rabi' and al-Fadl b. Sahl; or as a struggle between Arabs and Persians for the control of the government"".","Protest"
"They began with the murders of Benito Constable William Wainwright and RCMP Constable John Shaw near Pelly, Saskatchewan by three Doukhobor men who had been in the custody of the officers.","Injury"
"By the time the MPLA achieved victory in 2002, more than 500,000 people had died and over one million had been internally displaced.","Disaster"
"The battle of Bunclody or Newtownbarry as it was then called, was a battle in the Irish Rebellion of 1798, which took place on 1 June 1798 when a force of some 5,000 rebels led by Catholic priest Fr.","Attack"
"Guinness official Syeda Subasi-Gemici, adjudicator of Guinness World Records Ltd., presented the certificate validating the attempt.","Investigation"
"Gunshots rang out, and by that evening 19 people were dead, including both supporters and opponents of the government.","Injury"
"The bride, Catherine Middleton, had been his girlfriend since 2003.","None"
"According to the United Nations, 108 people were killed, including 34 women and 49 children.","Injury"
"On August 21, 1864, the soldiers began traveling up Fishing Creek.","None"
"The 2011 England riots, more widely known as the London Riots were a series of riots between 6 and 11 August 2011, when thousands of people rioted in cities and towns across England, saw looting, arson, and mass deployment of police, and resulted in the deaths of five people.","Injury"
"The post-accident investigation faulted the pilot for not diverting to Las Palmas.","Investigation"
